	organism_name	taxid
155	Geobacter sulfurreducens PCA	243231
156	Bacillus cereus ATCC 10987	222523
157	Wolbachia endosymbiont of Drosophila melanogaster	163164
158	Rickettsia typhi str. Wilmington	257363
159	Lactobacillus johnsonii NCC 533	257314
160	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	321314
161	Thermus thermophilus HB27	262724
162	Brucella abortus bv. 1 str. 9-941	262698
163	Bacillus anthracis str. Sterne	260799
164	Treponema denticola ATCC 35405	243275
165	Mycoplasma hyopneumoniae J	262719
166	Mycoplasma hyopneumoniae 7448	262722
167	Mycoplasma synoviae 53	262723
168	Picrophilus torridus DSM 9790	263820
169	Listeria monocytogenes serotype 4b str. F2365	265669
170	Mesoplasma florum L1	265311
171	Methylococcus capsulatus str. Bath	243233
172	Cutibacterium acnes KPA171202	267747
173	Mycoplasma mobile 163K	267748
174	Wolbachia endosymbiont strain TRS of Brugia malayi	292805
175	Mycoplasma hyopneumoniae 232	295358
176	Bacillus licheniformis DSM 13 = ATCC 14580	279010
177	Bacillus anthracis str. 'Ames Ancestor'	261594
178	Idiomarina loihiensis L2TR	283942
179	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	272624
180	[Bacillus thuringiensis] serovar konkukian str. 97-27	281309
181	Helicobacter pylori 26695	85962
182	Thermotoga maritima MSB8	243274
183	Deinococcus radiodurans R1	243230
184	Mycobacterium tuberculosis CDC1551	83331
185	Aquifex aeolicus VF5	224324
186	Methanothermobacter thermautotrophicus str. Delta H	187420
187	Archaeoglobus fulgidus DSM 4304	224325
188	Borreliella burgdorferi B31	224326
189	Chlamydia trachomatis D/UW-3/CX	272561
190	Chlamydia pneumoniae CWL029	115713
191	Clostridium acetobutylicum ATCC 824	272562
192	Helicobacter pylori J99	85963
193	Neisseria meningitidis MC58	122586
194	Escherichia coli O157:H7 str. Sakai	386585
195	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	36870
196	Lactobacillus salivarius UCC118	362948
197	Bifidobacterium longum DJO10A	205913
198	Francisella tularensis subsp. tularensis SCHU S4	177416
199	Staphylococcus aureus RF122	273036
200	Dehalococcoides mccartyi CBDB1	255470
201	Bacillus subtilis subsp. subtilis str. 168	224308
202	Yersinia pestis CO92	214092
203	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222
204	Neisseria meningitidis Z2491	122587
205	Ralstonia solanacearum GMI1000	267608
206	Nitrosomonas europaea ATCC 19718	228410
207	Xanthomonas campestris pv. vesicatoria str. 85-10	316273
208	Haloquadratum walsbyi DSM 16790	362976
209	Clostridioides difficile 630	272563
210	Pseudomonas fluorescens SBW25	216595
211	Francisella tularensis subsp. holarctica LVS	376619
212	Rhizobium leguminosarum bv. viciae 3841	216596
213	Cupriavidus necator H16	381666
214	Helicobacter acinonychis str. Sheeba	382638
215	Francisella tularensis subsp. tularensis FSC198	393115
216	Yersinia enterocolitica subsp. enterocolitica 8081	393305
217	Alcanivorax borkumensis SK2	393595
218	Streptococcus pyogenes str. Manfredo	160491
219	Staphylococcus carnosus subsp. carnosus TM300	396513
220	Lactococcus lactis subsp. cremoris MG1363	416870
221	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	410289
222	Neisseria meningitidis FAM18	272831
223	Burkholderia cenocepacia J2315	216591
224	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	550537
225	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	550538
226	Streptococcus uberis 0140J	218495
227	Escherichia coli BL21(DE3)	469008
228	Staphylococcus aureus subsp. aureus ST398	523796
229	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	107806
230	Mesorhizobium japonicum MAFF 303099	266835
231	Staphylococcus aureus subsp. aureus N315	158879
232	Staphylococcus aureus subsp. aureus Mu50	158878
233	Clostridium perfringens str. 13	195102
234	Nostoc sp. PCC 7120	103690
235	Synechocystis sp. PCC 6803	1148
236	Vibrio vulnificus YJ016	196600
237	Streptomyces avermitilis MA-4680 = NBRC 14893	227882
238	Geobacillus kaustophilus HTA426	235909
239	Nocardia farcinica IFM 10152	247156
240	Bacillus clausii KSM-K16	66692
241	Onion yellows phytoplasma OY-M	262768
242	Staphylococcus haemolyticus JCSC1435	279808
243	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	484021
244	Symbiobacterium thermophilum IAM 14863	292459
245	Bacteroides fragilis YCH46	295405
246	Chlamydia felis Fe/C-56	264202
247	Thermococcus kodakarensis KOD1	69014
248	Magnetospirillum magneticum AMB-1	342108
249	Lactobacillus reuteri JCM 1112	557433
250	Xanthomonas oryzae pv. oryzae MAFF 311018	342109
251	Desulfitobacterium hafniense Y51	138119
252	Synechococcus elongatus PCC 6301	269084
253	Sodalis glossinidius str. 'morsitans'	343509
254	Rhodococcus erythropolis PR4	234621
255	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	342451
256	Lactobacillus fermentum IFO 3956	334390
257	Brevibacillus brevis NBRC 100599	358681
258	Finegoldia magna ATCC 29328	334413
259	Orientia tsutsugamushi str. Ikeda	334380
260	Corynebacterium glutamicum R	340322
261	Escherichia coli str. K-12 substr. W3110	316407
262	Clostridium kluyveri NBRC 12016	583346
263	Kocuria rhizophila DC2201	378753
264	Gemmatimonas aurantiaca T-27	379066
265	Nitratiruptor sp. SB155-2	387092
266	Sulfurovum sp. NBC37-1	387093
267	Candidatus Carsonella ruddii PV	387662
268	Escherichia coli SE11	409438
269	Candidatus Vesicomyosocius okutanii HA	412965
270	Bifidobacterium adolescentis ATCC 15703	367928
271	Staphylococcus aureus subsp. aureus Mu3	418127
272	Staphylococcus aureus subsp. aureus str. Newman	426430
273	Escherichia coli SE15	431946
274	Porphyromonas gingivalis ATCC 33277	431947
275	Azorhizobium caulinodans ORS 571	438753
276	Burkholderia multivorans ATCC 17616	395019
277	Macrococcus caseolyticus JCSC5402	458233
278	Streptomyces griseus subsp. griseus NBRC 13350	455632
279	Microcystis aeruginosa NIES-843	449447
280	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	511995
281	Desulfovibrio magneticus RS-1	573370
282	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	561275
283	Streptococcus dysgalactiae subsp. equisimilis GGS_124	486410
284	Azospirillum sp. B510	137722
285	Escherichia coli O103:H2 str. 12009	585395
286	Escherichia coli O111:H- str. 11128	585396
287	Hydrogenobacter thermophilus TK-6	608538
288	Rhodococcus opacus B4	632772
289	Acetobacter pasteurianus IFO 3283-01	634452
290	Acetobacter pasteurianus IFO 3283-03	634453
291	Acetobacter pasteurianus IFO 3283-07	634454
292	Acetobacter pasteurianus IFO 3283-22	634455
293	Acetobacter pasteurianus IFO 3283-26	634456
294	Acetobacter pasteurianus IFO 3283-32	634457
295	Acetobacter pasteurianus IFO 3283-01-42C	634458
296	Acetobacter pasteurianus IFO 3283-12	634459
297	Deferribacter desulfuricans SSM1	639282
298	Rothia mucilaginosa DY-18	680646
299	Lactobacillus rhamnosus GG	568703
300	Bacteroides thetaiotaomicron VPI-5482	226186
301	Haloarcula marismortui ATCC 43049	272569
302	Pyrococcus horikoshii OT3	70601
303	Bacillus halodurans C-125	272558
304	Chlamydia pneumoniae J138	138677
305	Thermoplasma volcanium GSS1	273116
306	Sulfurisphaera tokodaii str. 7	273063
307	Mycoplasma penetrans HF-2	272633
308	Oceanobacillus iheyensis HTE831	221109
309	Staphylococcus aureus subsp. aureus MW2	196620
310	Streptococcus pyogenes SSI-1	193567
311	Corynebacterium efficiens YS-314	196164
312	Corynebacterium glutamicum ATCC 13032	196627
313	Thermosynechococcus elongatus BP-1	197221
314	Bradyrhizobium diazoefficiens USDA 110	224911
315	Gloeobacter violaceus PCC 7421	251221
316	Francisella tularensis subsp. holarctica OSU18	393011
317	Mycoplasma mycoides subsp. mycoides SC str. PG1	272632
318	Prochlorococcus marinus subsp. pastoris str. CCMP1986	59919
319	Prochlorococcus marinus str. MIT 9313	74547
320	Staphylococcus aureus subsp. aureus MRSA252	282458
321	Staphylococcus aureus subsp. aureus MSSA476	282459
322	Burkholderia pseudomallei K96243	272560
323	Candidatus Protochlamydia amoebophila UWE25	264201
324	Methanococcus maripaludis S2	267377
325	Pectobacterium atrosepticum SCRI1043	218491
326	Bacillus cereus E33L	288681
328	Streptococcus pyogenes MGAS10394	286636
329	Gluconobacter oxydans 621H	290633
330	Burkholderia mallei ATCC 23344	243160
331	Helicobacter pylori 51	290847
332	Candidatus Blochmannia pennsylvanicus str. BPEN	291272
333	Streptococcus pyogenes MGAS5005	293653
334	Histophilus somni 129PT	205914
335	Aliivibrio fischeri ES114	312309
336	Streptococcus thermophilus LMG 18311	264199
337	Streptococcus thermophilus CNRZ1066	299768
338	Campylobacter jejuni RM1221	195099
339	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	295319
340	Dehalococcoides mccartyi 195	243164
341	Staphylococcus epidermidis RP62A	176279
342	Anaplasma marginale str. St. Maries	234826
343	Ruegeria pomeroyi DSS-3	246200
344	Lactobacillus acidophilus NCFM	272621
345	Shigella dysenteriae Sd197	300267
346	Staphylococcus aureus subsp. aureus COL	93062
347	Borrelia hermsii DAH	314723
348	Borrelia turicatae 91E135	314724
349	Xanthomonas campestris pv. campestris str. 8004	314565
350	Chlamydia trachomatis A/HAR-13	315277
351	Rickettsia felis URRWXCal2	315456
352	Streptococcus pyogenes MGAS6180	319701
353	Haemophilus influenzae 86-028NP	281310
354	Pseudomonas savastanoi pv. phaseolicola 1448A	264730
355	Aster yellows witches'-broom phytoplasma AYWB	322098
356	Pseudomonas syringae pv. syringae B728a	205918
357	Pseudomonas protegens Pf-5	220664
358	Sulfolobus acidocaldarius DSM 639	330779
359	Psychrobacter arcticus 273-4	259536
360	Colwellia psychrerythraea 34H	167879
361	Candidatus Pelagibacter ubique HTCC1062	335992
362	Burkholderia thailandensis E264	271848
363	Rickettsia bellii RML369-C	336407
364	Thermobifida fusca YX	269800
365	Dechloromonas aromatica RCB	159087
366	Pseudomonas fluorescens Pf0-1	205922
367	Prochlorococcus marinus str. NATL2A	59920
368	Pelodictyon luteolum DSM 273	319225
369	Synechococcus sp. CC9902	316279
370	Synechococcus elongatus PCC 7942	1140
371	Methanosphaera stadtmanae DSM 3091	339860
372	Ehrlichia canis str. Jake	269484
373	Chlorobium chlorochromatii CaD3	340177
374	Hydrogenovibrio crunogenus XCL-2	317025
375	Synechococcus sp. CC9605	110662
376	Prochlorococcus marinus str. MIT 9312	74546
377	Desulfovibrio alaskensis G20	207559
378	Myxococcus xanthus DK 1622	246197
379	Streptococcus agalactiae A909	205921
380	Nitrobacter winogradskyi Nb-255	323098
381	Thiobacillus denitrificans ATCC 25259	292415
382	Mycoplasma capricolum subsp. capricolum ATCC 27343	340047
383	Burkholderia pseudomallei 1710b	320372
384	Nitrosococcus oceani ATCC 19707	323261
385	Bacteroides vulgatus ATCC 8482	435590
386	Parabacteroides distasonis ATCC 8503	435591
387	Carboxydothermus hydrogenoformans Z-2901	246194
388	Pelobacter carbinolicus DSM 2380	338963
389	Rhodobacter sphaeroides 2.4.1	272943
390	Geobacter metallireducens GS-15	269799
391	Burkholderia lata	482957
392	Sulfurimonas denitrificans DSM 1251	326298
393	Hahella chejuensis KCTC 2396	349521
394	Erythrobacter litoralis HTCC2594	314225
395	Hyphomonas neptunium ATCC 15444	228405
396	Salinibacter ruber DSM 13855	309807
397	Bacillus cereus Q1	361100
398	Rhodospirillum rubrum ATCC 11170	269796
399	Moorella thermoacetica ATCC 39073	264732
400	Anaplasma phagocytophilum str. HZ	212042
401	Ehrlichia chaffeensis str. Arkansas	205920
402	Neorickettsia sennetsu str. Miyayama	222891
403	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	374463
404	Synechococcus sp. JA-3-3Ab	321327
405	Synechococcus sp. JA-2-3B'a(2-13)	321332
406	Helicobacter pylori HPAG1	357544
407	Escherichia coli UTI89	364106
408	Clostridium perfringens ATCC 13124	195103
409	Escherichia coli 536	362663
410	Novosphingobium aromaticivorans DSM 12444	279238
411	Frankia casuarinae	106370
412	Rhodopseudomonas palustris HaA2	316058
413	Anaeromyxobacter dehalogenans 2CP-C	290397
414	Syntrophus aciditrophicus SB	56780
415	Staphylococcus aureus subsp. aureus NCTC 8325	93061
416	Methanospirillum hungatei JF-1	323259
417	Staphylococcus aureus subsp. aureus USA300_FPR3757	451515
418	Streptococcus pyogenes MGAS9429	370551
419	Streptococcus pyogenes MGAS10270	370552
420	Streptococcus pyogenes MGAS10750	370554
421	Jannaschia sp. CCS1	290400
422	Rhodoferax ferrireducens T118	338969
423	Janthinobacterium sp. Marseille	375286
424	Paraburkholderia xenovorans LB400	266265
425	Saccharophagus degradans 2-40	203122
426	Rhodopseudomonas palustris BisB5	316057
427	Methylobacillus flagellatus KT	265072
428	Methanococcoides burtonii DSM 6242	259564
429	Rhodopseudomonas palustris BisB18	316056
430	Shewanella denitrificans OS217	318161
431	Pseudomonas stutzeri A1501	379731
432	Yersinia pestis Nepal516	377628
433	Yersinia pestis Antiqua	360102
434	Polaromonas sp. JS666	296591
435	Nitrobacter hamburgensis X14	323097
436	Psychrobacter cryohalolentis K5	335284
437	Mycobacterium ulcerans Agy99	362242
438	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	355276
439	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	355277
440	Sphingopyxis alaskensis RB2256	317655
441	Candidatus Koribacter versatilis Ellin345	204669
442	Arcobacter butzleri RM4018	367737
443	Roseobacter denitrificans OCh 114	375451
444	Ruegeria sp. TM1040	292414
445	Burkholderia cenocepacia AU 1054	331271
446	Neisseria meningitidis 053442	374833
447	Clostridium novyi NT	386415
448	Cytophaga hutchinsonii ATCC 33406	269798
449	Mycobacterium sp. MCS	164756
450	Rubrobacter xylanophilus DSM 9941	266117
451	Streptococcus sanguinis SK36	388919
452	Pseudoalteromonas atlantica T6c	342610
453	Chelativorans sp. BNC1	266779
454	Trichodesmium erythraeum IMS101	203124
455	Granulibacter bethesdensis CGDNIH1	391165
456	Rickettsia canadensis str. McKiel	293613
457	Streptococcus pneumoniae D39	373153
458	Oenococcus oeni PSU-1	203123
459	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	321956
460	Lactobacillus gasseri ATCC 33323 = JCM 1131	324831
461	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120
462	Lactobacillus brevis ATCC 367	387344
463	Streptococcus thermophilus LMD-9	322159
464	Pediococcus pentosaceus ATCC 25745	278197
465	Lactobacillus paracasei ATCC 334	321967
466	Lactococcus lactis subsp. cremoris SK11	272622
467	Rhodococcus jostii RHA1	101510
468	Synechococcus sp. CC9311	64471
470	Pseudomonas aeruginosa UCBPP-PA14	208963
471	Francisella tularensis subsp. novicida U112	401614
472	Shewanella sp. MR-7	60481
473	Shewanella sp. MR-4	60480
474	Shewanella frigidimarina NCIMB 400	318167
475	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	335541
476	Maricaulis maris MCS10	394221
477	Nitrosomonas eutropha C91	335283
478	Alkalilimnicola ehrlichii MLHE-1	187272
479	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703
480	Rhodopseudomonas palustris BisA53	316055
481	Escherichia coli APEC O1	405955
482	Magnetococcus marinus MC-1	156889
483	Shewanella piezotolerans WP3	225849
484	Candidatus Solibacter usitatus Ellin6076	234267
485	Paenarthrobacter aurescens TC1	290340
486	Syntrophobacter fumaroxidans MPOB	335543
487	Mycobacterium avium 104	243243
488	Mycolicibacterium smegmatis MC2 155	246196
489	Acidothermus cellulolyticus 11B	351607
490	Pelobacter propionicus DSM 2379	338966
491	Bacillus thuringiensis str. Al Hakam	412694
492	Campylobacter fetus subsp. fetus 82-40	360106
493	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	413404
494	Chlorobium phaeobacteroides DSM 266	290317
495	Hyperthermus butylicus DSM 5456	415426
496	Bradyrhizobium sp. BTAi1	288000
497	Shewanella sp. W3-18-1	351745
498	Pyrobaculum islandicum DSM 4184	384616
499	Thermofilum pendens Hrk 5	368408
500	Shewanella amazonensis SB2B	326297
501	Nocardioides sp. JS614	196162
502	Psychromonas ingrahamii 37	357804
503	Mycolicibacterium vanbaalenii PYR-1	350058
504	Acidovorax citrulli AAC00-1	397945
505	Dichelobacter nodosus VCS1703A	246195
506	Marinobacter hydrocarbonoclasticus VT8	351348
507	Lactobacillus helveticus DPC 4571	405566
508	Mycobacterium sp. KMS	189918
509	Bartonella bacilliformis KC583	360095
510	Burkholderia mallei SAVP1	320388
511	Desulfovibrio vulgaris DP4	391774
512	Polaromonas naphthalenivorans CJ2	365044
513	Campylobacter jejuni subsp. jejuni 81-176	354242
514	Acidovorax sp. JS42	232721
515	Verminephrobacter eiseniae EF01-2	391735
516	Halorhodospira halophila SL1	349124
517	Burkholderia mallei NCTC 10229	412022
518	Burkholderia mallei NCTC 10247	320389
519	Prochlorococcus marinus str. AS9601	146891
520	Prochlorococcus marinus str. MIT 9515	167542
521	Prochlorococcus marinus str. NATL1A	167555
522	Methylibium petroleiphilum PM1	420662
523	Geobacillus thermodenitrificans NG80-2	420246
524	Methanocorpusculum labreanum Z	410358
525	Bacillus velezensis FZB42	326423
526	Methanoculleus marisnigri JR1	368407
527	Shewanella baltica OS155	325240
528	Hungateiclostridium thermocellum ATCC 27405	203119
529	Actinobacillus pleuropneumoniae serovar 5b str. L20	416269
530	Burkholderia pseudomallei 668	320373
531	Burkholderia pseudomallei 1106a	357348
532	Staphylothermus marinus F1	399550
533	Prochlorococcus marinus str. MIT 9301	167546
534	Rhodobacter sphaeroides ATCC 17029	349101
535	Mycobacterium sp. JLS	164757
536	Salmonella enterica subsp. enterica serovar Newport str. SL254	423368
537	Shewanella loihica PV-4	323850
538	Chlorobium phaeovibrioides DSM 265	290318
539	Francisella tularensis subsp. tularensis WY96-3418	418136
540	Methanococcus maripaludis C5	402880
541	Mycobacterium tuberculosis H37Ra	419947
542	Desulfotomaculum reducens MI-1	349161
543	Rhodospirillum centenum SW	414684
544	Vibrio cholerae O395	345073
545	Agrobacterium radiobacter K84	311403
546	Agrobacterium vitis S4	311402
547	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	272620
548	Enterobacter sp. 638	399742
549	Polynucleobacter asymbioticus QLW-P1DMWA-1	312153
550	Mycolicibacterium gilvum PYR-GCK	350054
551	Rhodobacter sphaeroides ATCC 17025	349102
552	Salinispora tropica CNB-440	369723
553	Yersinia pestis Pestoides F	386656
554	Clostridium kluyveri DSM 555	431943
555	Methanobrevibacter smithii ATCC 35061	420247
556	Caldicellulosiruptor saccharolyticus DSM 8903	351627
557	Pseudomonas mendocina ymp	399739
558	Shewanella putrefaciens CN-32	319224
559	Metallosphaera sedula DSM 5348	399549
560	Rickettsia massiliae MTU5	416276
561	Flavobacterium johnsoniae UW101	376686
562	Roseiflexus sp. RS-1	357808
563	Actinobacillus pleuropneumoniae serovar 3 str. JL03	434271
564	Dehalococcoides mccartyi BAV1	216389
565	Acidiphilium cryptum JF-5	349163
566	Geobacter uraniireducens Rf4	351605
567	Sphingomonas wittichii RW1	392499
568	Thermotoga petrophila RKU-1	390874
569	Staphylococcus aureus subsp. aureus JH9	359786
570	Lactobacillus reuteri DSM 20016	557436
571	Brucella ovis ATCC 25840	444178
572	Pseudomonas putida F1	351746
573	Psychrobacter sp. PRwf-1	349106
574	Thermosipho melanesiensis BI429	391009
575	Mycobacterium tuberculosis F11	336982
576	Yersinia pseudotuberculosis IP 31758	349747
577	Clostridium beijerinckii NCIMB 8052	290402
578	Alkaliphilus metalliredigens QYMF	293826
579	Streptococcus gordonii str. Challis substr. CH1	467705
580	Clostridium botulinum A str. ATCC 19397	441770
581	Clostridium botulinum A str. Hall	441771
582	Clostridium botulinum F str. Langeland	441772
583	Staphylococcus aureus subsp. aureus USA300_TCH1516	451516
584	Coxiella burnetii Dugway 5J108-111	434922
585	Staphylococcus aureus subsp. aureus JH1	359787
586	Sinorhizobium medicae WSM419	366394
587	Methanococcus vannielii SB	406327
588	Methanococcus aeolicus Nankai-3	419665
589	Pseudomonas aeruginosa PA7	381754
590	Methanococcus maripaludis C7	426368
591	Actinobacillus succinogenes 130Z	339671
592	Phenylobacterium zucineum HLK1	450851
593	Marinomonas sp. MWYL1	400668
594	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	266940
595	Shewanella baltica OS185	402882
596	Ochrobactrum anthropi ATCC 49188	439375
597	Bacillus cytotoxicus NVH 391-98	315749
598	Rickettsia rickettsii str. Iowa	452659
599	Campylobacter curvus 525.92	360105
600	Anaeromyxobacter sp. Fw109-5	404589
601	Fervidobacterium nodosum Rt17-B1	381764
602	Parvibaculum lavamentivorans DS-1	402881
603	Campylobacter hominis ATCC BAA-381	360107
604	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	355278
605	Methanoregula boonei 6A8	456442
606	Xanthobacter autotrophicus Py2	78245
607	Cronobacter sakazakii ATCC BAA-894	290339
608	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	456481
609	Vibrio campbellii ATCC BAA-1116	338187
610	Campylobacter concisus 13826	360104
611	Escherichia coli O139:H28 str. E24377A	331111
612	Escherichia coli HS	331112
613	Francisella tularensis subsp. holarctica FTNF002-00	458234
614	Roseiflexus castenholzii DSM 13941	383372
615	Cyanothece sp. ATCC 51142	43989
616	Pseudothermotoga lettingae TMO	416591
617	Bacillus pumilus SAFR-032	315750
